infotext,activity,children,culture,food,nature,night,season
"경남 양산시 원동면 일대에서 특산품인 원동면 유황 비타민 미나리 관련 축제이다. 기존 지역 주민들이 아닌 사람들에 의한 바가지 요금 및 비위생적인 문제를 해결하고자 2025년 축제부터 미나리 타운을 조성할 계획이다. 1. 메인프로그램 : 개막식 초대가수 , 그밖에 시민 노래자랑 음악회 등<br>
2. 부대프로그램 : 시민 노래자랑<br>
3. 기타 먹거리 : 간단한 푸드트럭 및 원동면 특산품, 미나리 삼겹살 등 ",0.0,0.0,1.0,1.0,0.0,0.0,0.0
"1995년 사천시가 통합되며 사천군 수양문화제와 삼천포시의 한려문화제를 하나로 합쳐 시민화합과 전통문화예술 발전을 위해 만든 사천와룡문화제는 사천의 역사와 미래를 주제로 지역 문화예술인들과 함께하는 다양한 전시, 공연, 체험 및 먹거리 등을 즐길 수 있는 사천시의 대표 축제이다. 1. 공연 : 5. 1.(목) 김수찬, 케이시, 김성범 / 5. 2.(금) 백지영, 홍진영, 노라조 / 5. 3. 와룡슈퍼스타경연대회 / 5. 4. 박서진, 브랜뉴걸, 이노블<br>
2. 전시 : 빛 거리(루미나리에)/우주(미래)존:사천의 미래도시와 우주를 표현하는 전시/사천시간여행존:옛 사천과 삼천포 문화를 표현하는 체험전시 <br>
3. 체험 : 무궁화 꽃이 피었습니다: 오징어 게임 콘셉트의 시민화합을 위한 단체 게임으로 우승자에게는 50만원 상당의 경품선물(2회 진행)<br>
4. 전통 : 가산오광대, 마도갈방아소리, 판소리 공연, 연날리기 대회 등<br>
5. 경연대회 : 학생미술실기대회, 음악경연대회, 백일장, 전국시조경창대회<br>
6. 부대프로그램 : 다양한 공예, 페이스페인팅, VR체험, 홍보 및 판매 부스 운영<br>
7. 먹거리 : 한우, 토속음식, 푸드트럭 등 ",1.0,0.0,1.0,0.0,0.0,0.0,0.0
"<2025 북촌의 날>은 북촌의 이웃과 문화자원을 연계한 지역문화축제로서 오늘날의 역사문화관광 거점인 북촌을 무대로 9/26(금)부터 10/5(일)까지 열흘 동안 <서울한옥위크>에 맞춰 진행된다.

한국문화에 대한 글로벌 수요가 증가함에 따라 외국인 관광객이 급증하면서 백 년 전통을 다져온 북촌한옥마을의 곳곳이 더욱 주목받고 있다. 이제는 단순히 북촌에 거주하는 사람뿐만 아니라, 이곳을 방문하는 소비와 관광의 주체들 또한 지역문화를 주도하고 있다. 많은 관심과 발길이 이어지지만, 한편으로는 거주민의 정주권과 환경 문제 또한 대두되고 있다. 

북촌문화센터는 날마다 수많은 방문객이 오가며 다양하게 엮인 문화자원들과 이를 통해 지역사회가 외치는 K-문화의 부흥을 어떠한 방식으로 발현시켜야 할지 고민과 성찰을 거듭하고 있다. 특히 서울공공한옥의 연간 최대 축제인 <북촌의 날>은 이와 같은 지역 이슈를 함께 고민하며 성장을 시도하고자, 다양한 지역 주체들과 프로그램을 기획하였다.

이번 축제는 북촌과 한옥을 기반으로 오늘날의 가치가 끊임없이 확장되는 지속가능성을 지향한다. 1. 전시: 고요의 울림 展_김준 작가, 정원의 언어들 展_안마당 더랩, 북촌의 학창시절 백년 展_서울재동초동문회<br>
2. 공연: 틈, 파열_프로젝트 어린, 강강수월래_진도민속문화예술단, 강담 신파극 ‘북촌비화’_매머드머메이드, 재동초 풍류방_서울재동초 <br>
3. 강연·탐방: 북촌인문학_마크테토, 북촌마을여행 '북촌기담'_유정호 작가, 근대건축자산탐방 '운현궁 양관'_안창모 교수, 북촌골목길여행 '북촌 청춘 나들이'_이문희 주민해설사, 북촌골목길여행 '소리따라 북촌'_송경호 주민해설사, 조용한 여행 캠페인 '북촌광경'_류보람 해설사, 랜선아씨여행_SeoulWalker&한복씨<br>
4. 체험·해설: 한가위 풍류 모임_열두달에피소드, 미니 호족반 만들기_이혜숙 작가, 올게심니 리스 만들기_온화수, 마음 쉼 전통주 살롱_상선주조, 차향을 품은 한옥_이영란, 북촌청년공방 '도자기'_ONDO, 북촌청년공방 랜선투어 '목수랑', 사운드 워크숍 '북촌의 소리 풍경'_김준 작가, 전통이 깃든 업사이클 커피박 공예_만드는박물관, 한옥의 아침, 한옥의 저녁<br>
5. 교류·이벤트: 공공한옥 네트워킹, 네트워크 파티, 북촌전통공예체험 이벤트, 계동마님댁 호수천신 찾기 이벤트 ",0.0,0.0,1.0,0.0,1.0,0.0,0.0
"항상 전국 최고의 당도를 자랑하는 양촌곶감, 올해는 감 농사가 풍년이다. 이 분위기를 함께 즐기는 ""양촌, 『맛있는』 곶감 빼먹자!""라는 슬로건으로 개최한다.  곶감 생산지로 유명한 곳이었으며, 곶감특구 지정, 품질인증 Q마크, 우수특산품 대상 선정 등 그 우수성은 이미 널리 알려져 있다. 맛과 과육이 탁월한 양촌 곶감의 우수성을 홍보하기 위해 개최 되는 양촌곶감축제에서는 감따기, 곶감깍기 등의 다양한 이벤트와 함께 수확의 기쁨을 체험할 수 있는 장이다. 맑고 깨끗한 환경에서 자란 품질 좋은 양촌의 농ㆍ특산물과 양촌사람들의 넉넉한 인심을 널리 알리는 계기가 되고 있는 충청도 특유의 인심 좋고 다양한 볼거리, 즐길거리가 있는 테마가 있는 축제로 지역 주민이나 전국에서 관광객들이 해마다 늘어나는 추세로 시민축제가 아닌 전국적인 축제로 거듭나고 있다. 1. 메인프로그램: 감스토랑, 곶감가요제, 곶감트리포토존,미션! 감파서블, FUNFUN한 공연<br>
2. 부대프로그램: 모락모락존, 사랑방 쉼터, 메리곶감체험프로그램",0.0,0.0,0.0,1.0,0.0,0.0,1.0
"화순읍 남산공원이 2024년 11월 야간경관으로 새롭게 꾸며졌다. 야간경관을 배경으로 펼쳐지는 화순 남삼공원 축제 '미리미리 크리스마스'는 화순에서 처음 이루어지는 겨울 축제이며, 크리스마스에 특화된 상품과 먹거리, 공연, 퍼포먼스, 퍼레이드, 인공눈 까지 다양하고 새로운 형식의 도심 축제를 구성하였다. 야간에 이루어지는 축제이며 빛조형물들과 대형트리로 남산공원이 꾸며져 풍성한 볼거리와 즐길거리로 축제를 구성하고있다.    - 남산 야간경관을 활용한 대형 크리스마스 트리 설치(10m, 2월까지 설치운영)<br>
   - 크리스마스 마켓 운영, 다양한 크리스마스 관련 상품 및 먹거리 판매(25개소)<br> 
   - 와글와글 야시장 운영(고인돌시장 상인회와 협력)<br>
   - 크리스마스 관련 공연 운영(재즈, 마술, 합창, 소규모 오케스트라 등)<br>
   - 크리스마스 퍼레이드 프로그램 운영<br>
   - 체험 프로그램 운영(ex: 크리스마스트리, 카드만들기, 쿠키만들기 등)<br>
   - 포토존 운영 및 사진 인화 프로그램 운영<br>
   - 남산공원 행사장 입구 루미나리에 설치 운영<br>
   - 행사 운영 부스 및 종합상황실 운영(이벤트 운영 및 기념품 배포)",0.0,0.0,0.0,0.0,0.0,1.0,1.0
"조선시대 왕실에 진상되던 왕실 도자의 역사성과 우수성을 알리고, 도자 문화를 더욱 폭넓게 향유할 수 있도록 매년 광주왕실도자페스티벌이 개최된다. 2025년에는 도자기라는 물리적 예술품과 왕실 문화라는 서사적 콘텐츠를 결합하여, 역사와 예술, 전통을 창의적으로 체험할 수 있는 다양한 프로그램을 선보일 예정이다. 단순한 체험을 넘어 역사적 소재를 활용한 몰입형 콘텐츠를 강화하여 관람객들에게 특별한 경험을 제공할 계획이다. 또한, 축제 기간 동안 지역의 문화예술을 향유할 수 있는 다양한 프로그램을 운영하며, 전통 도자 문화 체험, 문화예술 공연 등 다채로운 행사도 마련될 예정이다. 1. 대표프로그램 : 진상 퍼레이드, 궁중요리 체험<br>
2. 참여체험 : 도자기 체험 프로그램, 도자 타임경매, 왕실문화 체험<br>
3. 문화예술 : 조선왕실풍류 공연, 버스킹 공연, 심포지엄  <br>
4. 기타 프로그램 : 5월 행사 연계(음식문화축제, 광주예술제, 다문화 어울림 축제, 어린이날 가족축제 등), 곤지암 리버마켓",1.0,0.0,1.0,0.0,0.0,0.0,0.0
"연천 전곡리 유적은 30만년전에 우리나라에 매우 똑똑한 구석기 사람들이 살았다는 증거인 주먹도끼가 발견된 세계적인 유적 이다. 매년 한차례 전세계의 선사문화체험이 연천 전곡리로 모여 원시체험의 장이 열리는 축제이다. 1. 특설무대 주요 프로그램<br>5월 2일 금요일 - 전곡리안 퍼레이드<br>5월 3일 토요일 - 연천 전국 청소년 댄스 경연 대회 / DJ 퍼포먼스 공연<br>5월 4일 일요일 - 전곡 나이트 시네마<br>5월 5일 월요일 - 축하공연 및 드론 불꽃 공연<br><br>2. 대표 체험 프로그램<br>전곡리안 의상실, 전곡리안 서바이벌, 구석기 올림픽, 세계 구석기 체험 마당, 구석기 펫스타, 구석기 스플래쉬 어드벤처 등<br><br>3. 특별 경연 대회 프로그램<br>전곡리안 패션왕, 구석기 펫스타 콘테스트, 구석기 밥상대전<br><br>[이용요금]<br>대인 (18세 이상) : 7,000원 / 지역화폐(보상금) 5,000원<br>소인( 36개월 ~ 18세 미만) : 3,000원 / 지역화폐(보상금) 3,000원<br>무료 : 장애인, 독립유공자, 국가유공자, 5·18민주유공자, 참전유공자, 고엽제후유의증환자, 특수임무수행자, 국민기초수급자",1.0,0.0,1.0,0.0,0.0,0.0,0.0
"<아산 성웅 이순신축제>는 이순신 장군의 애국 애족 정신과 충효정신을 되살리자는 취지로 이순신 장군의 탄신일을 전후하여 아산시의 명소에서 매년 열리고 있다. 아산 성웅 이순신축제는 구국의 명장인 이순신 장군의 정신을 기리고, 이순신 장군이 일생동안 행해 왔던 삶의 궤적을 다양한 프로그램을 통해 배울 수 있는 축제다. 1961년 최초로 온양문화제 명칭으로 개최된 이래 해마다 진행되어 오늘에 이르고 있으며, 2004년부터 아산 성웅이순신축제로 명칭을 변경하여 개최해오고 있다.  1. 주요 프로그램<br>
- 이순신장군 무과급제행렬<br>
- ㅇㅅㅅ게임<br>
- 문화예술공연<br>
- 제3회 백의종군길 전국 걷기대회 운영<br>
- 제2회 충무공 이순신장군배 전국 노젓기 대회 등<br><br>

2. 기타<br>
- 즐길 거리, 볼거리, 먹거리 제공 ",0.0,0.0,1.0,1.0,0.0,0.0,0.0
"2025 남도국제미식산업박람회는 남도의 맛과 멋을 한자리에서 즐길 수 있는 미식 축제입니다. 청정한 재료와 깊은 손맛이 어우러진 남도 음식은 물론, 세계 각국의 요리와 전통주, 다양한 체험 프로그램이 준비되어 있다. 남도만의 풍요로운 음식 문화와 즐길 거리가 가득한 이번 축제는 남녀노소 누구나 함께 어울리며 미식의 즐거움을 만끽할 수 있는 특별한 무대가 펼쳐진다. 1. 메인프로그램 : 3대전시관 (주제관, 미식문화관, K-FOOD 산업관), 남도미식주류페어링, 남도미식레스토랑, 남도 대표맛집 미식로드, 남도 미래셰프 청소년 조리 경연, 시·군 대표요리 전시 경연, 아세안 파빌리온, 글로벌 K-FOOD 마스터', 월드미식파티, 남도미식 국제 컨퍼런스<br>2. 부대프로그램 : 주류페스타, 소금박람회, 김밥페스티벌<br>3. 소비자 참여 프로그램 : 미식로드, 마켓존, 청소년 미각체험교실, 남도미식주류페어링, 월드미식파티 ",0.0,1.0,0.0,1.0,0.0,0.0,0.0
"전 세대가 서로의 문화를 체험·공감하며 가족의 의미를 되짚어보는 ""양천가족 거리축제""를 우리 구 중심인 신정네거리역 일대에서 개최하여 양천구민 화합의 장을 마련하고자 한다. 0. 거리퍼레이드 : 축제의 시작을 알리는 거리퍼레이드 (18개 동별 특색있는 퍼레이드 등)  
1. 만남의 광장 : 즐거움의 문을 열어주는 만남의 장소 (휴게공간, 포토존 등)
2. 키즈플레이존 : 3세부터 9세 아이들을 위한 팝업 놀이터 (양천부루마블, 액션페인팅, 대형젠가 등)
3. 북페스티벌 : 양천 길거리 도서관 (황선우&김혼비 작가와의 대화, 야외도서관, 책BTI 등)
4. 프린지스테이지 : 지역예술인과 관객이 소통하는 열린무대 (버스킹, 마임 등)
5. 청춘로드 : 젊은 세대를 위한 FUN&감성거리 (도어락 이벤트, 360도 포토부스, 사일런스 디스코 등)
6. 추억로드 : 추억과 낭만을 즐기는 레트로 여행(복고양화점, 만화충전소, 추억의 DJ박스 등)
7. 가족사랑로드 : 온 가족이 함께 즐기는 특별한 체험(우리가족 캐리커쳐, 스포츠 챔피언 파크 등)
8. 먹거리존 : 추억의 음식 & 양천구 맛집 20여 개소
9. 메인무대 : 양천문화원 <전통예술제> , LG헬로비전 <태군노래자랑>방송 녹화, 음악콘서트 <헬로페스티벌>",0.0,1.0,1.0,0.0,0.0,0.0,0.0
